계획,이수구분(주전공),이수구분(다전공),공학인증,교과영역,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),과정,수강대상
,전선-화공,복선-화공/부선-화공,,,2150348401,분리공정,,영·한혼합,,엄기원,화학공학과,3.0/3.0,0,40,"월 10:30-11:45 (형남공학관 05102-엄기원)
월 12:00-13:15 (형남공학관 05102-엄기원)",학사과정,4학년 화공
,전선-실내건축,복선-실내건축/부선-실내건축,,,2150506801,브랜딩디자인,,,,장미정,건축학부,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05113-장미정)
월 15:00-16:15 (형남공학관 05113-장미정)",학사과정,4학년 실내건축
,전선-회계세무,,,,2150087901,비영리회계,,대면+녹화,,이유선,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (안익태기념관 04402-이유선),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-회계세무,,,,2150087902,비영리회계,,대면+녹화,,김용수,회계세무학과(계약학과),3.0/3.0,0,40,토 10:30-11:45 (안익태기념관 04403-김용수),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-경영학부,복선-경영학부/부선-경영학부,,,2150097401,비즈니스협상,,"영·한혼합
EL+",,정원준,경영학부,3.0/3.0,0,40,"화 10:30-11:45 (숭덕경상관 02101-정원준)
목 10:30-11:45 (숭덕경상관 02316-정원준)",학사과정,4학년 경영학부
,전선-경영학부,복선-경영학부/부선-경영학부,,,2150097402,비즈니스협상,,,,,경영학부,3.0/3.0,0,40,"월 09:00-10:15 (미래관 20403-)
월 10:30-11:45 (미래관 20403-)",학사과정,4학년 경영학부
,전선-경영학부,복선-경영학부/부선-경영학부,,,2150097403,비즈니스협상,,,,,경영학부,3.0/3.0,0,40,"목 15:00-16:15 (백마관 07218-)
목 16:30-17:45 (백마관 07218-)",학사과정,4학년 경영학부
,전선-경영학부,복선-경영학부/부선-경영학부,,,2150097405,비즈니스협상,,,,,경영학부,3.0/3.0,0,40,"화 18:00-19:15 (숭덕경상관 02209-)
화 19:30-20:45 (숭덕경상관 02209-)",학사과정,4학년 경영학부
,전선-금융경제,복선-금융경제/부선-금융경제,,,2150693301,사모펀드개요및실무,,,,김형윤,금융경제학과,3.0/3.0,0,55,"월 19:30-20:45 (숭덕경상관 02317-김형윤)
월 21:00-22:15 (숭덕경상관 02317-김형윤)",학사과정,4학년 금융경제(경제학과) (대상외수강제한)
,전선-평생교육,복선-평생교육/부선-평생교육,,,2150590001,사이버교육론,,,,,평생교육학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12209-)
목 16:30-17:45 (조만식기념관 12209-)",학사과정,4학년 평생교육
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150096001,사회복지와인권,,EL+,,이지하,사회복지학부,3.0/3.0,0,40,"월 12:00-13:15 (진리관 11521-이지하)
월 13:30-14:45 (진리관 11521-이지하)",학사과정,4학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150428401,사회복지행정론,가,EL+,,한송이,사회복지학부,3.0/3.0,0,40,"수 12:00-13:15 (미래관 20502-한송이)
수 13:30-14:45 (미래관 20502-한송이)",학사과정,4학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150428402,사회복지행정론,나,EL+,,홍성원,사회복지학부,3.0/3.0,0,40,"목 09:00-10:15 (조만식기념관 12329-홍성원)
목 10:30-11:45 (조만식기념관 12329-홍성원)",학사과정,4학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150489701,사회복지현장실습,,,,강미경,사회복지학부,3.0/3.0,0,30,"화 12:00-13:15 (미래관 20308-강미경)
화 13:30-14:45 (미래관 20308-강미경)",학사과정,4학년 사회복지
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150626901,사회서비스정책,,EL+,,정찬미,사회복지학부,3.0/3.0,0,40,"목 12:00-13:15 (조만식기념관 12202-정찬미)
목 13:30-14:45 (조만식기념관 12202-정찬미)",학사과정,4학년 사회복지
,전선-철학,복선-철학/부선-철학,,,2150159401,사회정치철학,,,,박민철,철학과,3.0/3.0,0,40,"수 12:00-13:15 (교육관 06203-박민철)
금 12:00-13:15 (미래관 20503-박민철)",학사과정,4학년 철학
,전선-정보사회,복선-정보사회/부선-정보사회,,,2150492001,사회조사분석,,EL+,,이성식,정보사회학과,3.0/3.0,0,40,"금 12:00-13:15 (조만식기념관 12426-이성식)
금 13:30-14:45 (조만식기념관 12426-이성식)",학사과정,4학년 정보사회
,전선-행정학부,복선-행정학부/부선-행정학부/융선-사회적기업혁신융합/융선-통일외교및개발협력,,,2150667201,산업기술정책,,,,권남호,행정학부,3.0/3.0,0,40,"화 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-권남호)
화 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-권남호)",학사과정,"4학년 행정학부,통일외교및개발협력,사회적기업과사회혁신융합"
,전선-사회복지,복선-사회복지/부선-사회복지,,,2150489801,산업복지론,,EL+,,이광재,사회복지학부,3.0/3.0,0,40,"월 18:00-19:15 (진리관 11521-이광재)
월 19:30-20:45 (진리관 11521-이광재)",학사과정,4학년 사회복지
,전선-경영학부,복선-경영학부/부선-경영학부/융선-스포츠마케팅융합,,,2150547201,서비스마케팅,,,,강기두,경영학부,3.0/3.0,0,40,"수 13:30-14:45 (숭덕경상관 02101-강기두)
목 10:30-11:45 (숭덕경상관 02101-강기두)",학사과정,"4학년 경영학부, 스포츠마케팅융합"
,전선-경영학부,복선-경영학부/부선-경영학부/융선-스포츠마케팅융합,,,2150547202,서비스마케팅,,,,장우철,경영학부,3.0/3.0,0,40,"수 18:00-19:15 (미래관 20401-장우철)
수 19:30-20:45 (미래관 20401-장우철)",학사과정,"4학년 경영학부, 스포츠마케팅융합"
,전선-기독교,복선-기독교/부선-기독교,,,2150615701,성과사랑의심리학,,,,신선임,기독교학과,3.0/3.0,0,40,"월 13:30-14:45 (미래관 20307-신선임)
화 10:30-11:45 (미래관 20307-신선임)",학사과정,4학년 기독교
,전선-기독교,복선-기독교/부선-기독교,,,2150659101,성서윤리,,,,김윤경,기독교학과,3.0/3.0,0,40,"화 12:00-13:15 (진리관 11303-김윤경)
화 13:30-14:45 (진리관 11303-김윤경)",학사과정,4학년 기독교
,전선-회계세무,,,,2150088201,세무회계세미나,,대면+녹화,,김민희,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (안익태기념관 04402-김민희),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-회계세무,,,,2150088202,세무회계세미나,,대면+녹화,,이유선,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (안익태기념관 04403-이유선),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-물리,복선-물리/부선-물리,,,2150512201,세미나1,,EL+,,소재필,물리학과,1.0/1.0,0,40,목 16:30-17:20 (조만식기념관 12311-소재필),학사과정,4학년 물리
,전선-의생명시스템,복선-의생명시스템/부선-의생명시스템/융선-지식재산융합,,,2150072701,세포치료,,,,심가용,의생명시스템학부,3.0/3.0,0,40,"화 13:30-14:45 (벤처중소기업센터 10711-심가용)
화 15:00-16:15 (벤처중소기업센터 10711-심가용)",학사과정,"4학년 의생명시스템, 지식재산융합"
,전선-AI소프트웨어/전선-AI융합/전선-소프트,복선-AI소프트/복선-소프트/부선-AI소프트/융선-지식재산융합,,,2150167401,소프트웨어특강1,,,,최형광,AI소프트웨어학부,3.0/3.0,0,50,수 금 18:00-19:15 (정보과학관 21301-최형광),학사과정,"4학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-수학,복선-수학/부선-수학,,,2150146501,수리모델링,,영어,,채석주,수학과,3.0/3.0,0,40,"월 12:00-13:15 (숭덕경상관 02317-채석주)
목 13:30-14:45 (숭덕경상관 02317-채석주)",학사과정,4학년 수학
,전선-수학,복선-수학/부선-수학,,,2150398601,수리통계학,,,,이종규,수학과,3.0/3.0,0,40,"월 10:30-11:45 (진리관 11516-이종규)
수 10:30-11:45 (진리관 11516-이종규)",학사과정,4학년 수학
,전선-신소재,복선-신소재/부선-신소재/융선-스마트소재제품융합,,,2150548301,스마트웨어러블,,,,김주용,신소재공학과,3.0/3.0,0,40,"화 12:00-13:15 (형남공학관 05116-김주용)
수 10:30-11:45 (형남공학관 05116-김주용)",학사과정,"4학년 신소재, 스마트소재/제품융합"
,전선-정외,복선-정외/부선-정외,,,2150684901,시민사회론,,,,김성현,정치외교학과,3.0/3.0,0,40,"월 10:30-11:45 (미래관 20307-김성현)
금 10:30-11:45 (조만식기념관 12530 (경제학과겸임교수강의실)-김성현)",학사과정,4학년 정외
,전선-문예창작,복선-문예창작/부선-문예창작/융선-문화서비스산업융합,,,2150501701,시세미나,,,,김인섭,예술창작학부 문예창작전공,3.0/3.0,0,40,"화 16:30-17:45 (진리관 11401-김인섭)
목 16:30-17:45 (진리관 11401-김인섭)",학사과정,"4학년 문예창작전공,문화서비스산업"
,전선-AI소프트웨어/전선-AI융합/전선-소프트,복선-AI소프트/복선-소프트/부선-AI소프트/융선-지식재산융합,,,2150167801,시스템보안,,EL+,,조해현,AI소프트웨어학부,3.0/3.0,0,50,"월 18:00-19:15 (정보과학관 21304-조해현)
월 19:30-20:45 (정보과학관 21304-조해현)",학사과정,"4학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-의생명시스템,복선-의생명시스템/부선-의생명시스템,,,2150072001,시스템생물학,,,,김준일,의생명시스템학부,3.0/3.0,0,40,"월 13:30-14:45 (숭덕경상관 02317-김준일)
금 12:00-13:15 (숭덕경상관 02317-김준일)",학사과정,4학년 의생명시스템
,전선-행정학부,복선-행정학부/부선-행정학부/융선-통일외교및개발협력,,,2150112701,시장경제와지속가능한규제,,영어,,배주현,행정학부,3.0/3.0,0,40,"월 13:30-14:45 (조만식기념관 12526 (김사풍강의실)-배주현)
월 15:00-16:15 (조만식기념관 12526 (김사풍강의실)-배주현)",학사과정,"4학년 행정학부,통일외교및개발협력"
,전선-중문,복선-중문/부선-중문,,,2150319501,시청각중국어,,EL+,,Piao Hongying,중어중문학과,3.0/3.0,0,40,"수 12:00-13:15 (조만식기념관 12404-Piao Hongying)
금 10:30-11:45 (진리관 11307-Piao Hongying)",학사과정,4학년 중문
,전선-기독교,복선-기독교/부선-기독교,,,2150488901,신약신학,,,,박장훈,기독교학과,3.0/3.0,0,40,"수 10:30-11:45 (미래관 20307-박장훈)
수 12:00-13:15 (미래관 20307-박장훈)",학사과정,4학년 기독교
,전선-문예창작,복선-문예창작/부선-문예창작,,,2150462401,아동청소년문학,,,,신영배,예술창작학부 문예창작전공,3.0/3.0,0,40,"수 15:00-16:15 (진리관 11401-신영배)
수 16:30-17:45 (진리관 11401-신영배)",학사과정,4학년 문예창작전공
,전선-화학,복선-화학/부선-화학,,,2150175101,양자나노분광응용,,,,주상우,화학과,3.0/3.0,0,30,화 수 12:00-13:15 (베어드홀 01101-3(자연과학 융합실습실)-주상우),학사과정,4학년 화학
,전필-실내건축,복필-실내건축/부선-실내건축,,,2150413201,어드밴스드디자인스튜디오1,,,,강은기,건축학부,4.0/3.0,0,25,"수 10:30-11:20 (문화관 03111 (토론식강의실)-강은기)
수 11:30-12:20 (문화관 03111 (토론식강의실)-강은기)
수 12:30-13:20 (문화관 03111 (토론식강의실)-강은기)
수 13:30-14:20 (문화관 03111 (토론식강의실)-강은기)",학사과정,4학년 실내건축
,전필-실내건축,복필-실내건축/부선-실내건축,,,2150413202,어드밴스드디자인스튜디오1,(2),,,황희정,건축학부,4.0/3.0,0,25,"수 09:30-10:20 (형남공학관 05617C-황희정)
수 10:30-11:20 (형남공학관 05617C-황희정)
수 11:30-12:20 (형남공학관 05617C-황희정)
수 12:30-13:20 (형남공학관 05617C-황희정)",학사과정,4학년 실내건축
,전선-통계·보험,복선-통계·보험/부선-통계·보험,,,2150679901,연금수리학,,,,,정보통계·보험수리학과,3.0/3.0,0,40,"월 10:30-11:45 (조만식기념관 12330-)
월 12:00-13:15 (조만식기념관 12330-)",학사과정,4학년 통계보험
,전선-기계,복필-기계/부선-기계,,,2150410001,열공학실험,,EL+,,정진호,기계공학부,2.0/1.0,0,25,"목 13:00-13:50 (형남공학관 05111-정진호)
목 14:00-14:50 (형남공학관 05111-정진호)",학사과정,4학년 기계
,전선-기계,복필-기계/부선-기계,,,2150410002,열공학실험,,EL+,,정진호,기계공학부,2.0/1.0,0,25,"목 15:00-15:50 (형남공학관 05111-정진호)
목 16:00-16:50 (형남공학관 05111-정진호)",학사과정,4학년 기계
,전선-기계,복선-기계/부선-기계/융선-에너지공학융합,,,2150801001,열유체응용설계,,EL+,,정진호,기계공학부,3.0/3.0,0,40,"목 18:00-19:15 (형남공학관 05111-정진호)
목 19:30-20:45 (형남공학관 05111-정진호)",학사과정,"4학년 기계,에너지공학융합"
,전선-철학,복선-철학/부선-철학,,,2150233801,영미철학특강,,,,신현주,철학과,3.0/3.0,0,40,화 목 16:30-17:45 (진리관 11307-신현주),학사과정,4학년 철학
,전선-중문,복선-중문/부선-중문,,,2150098701,영상으로보는중국,,EL+,,진성희,중어중문학과,3.0/3.0,0,40,월 수 13:30-14:45 (조만식기념관 12204-진성희),학사과정,4학년 중문
,전선-영문,복선-영문/부선-영문/융선-뉴미디어콘텐츠융합,,,2150389001,영어담화분석,,,,김은수,영어영문학과,3.0/3.0,0,40,"화 13:30-14:45 (진리관 11402-김은수)
수 13:30-14:45 (조만식기념관 12408 (림인식강의실)-김은수)",학사과정,"4학년 영문, 뉴미디어콘텐츠융합"
,전선-영문,복선-영문,,,2150170301,영어와사회,,EL+,,김지은,영어영문학과,3.0/3.0,0,40,"화 10:30-11:45 (조만식기념관 12327-김지은)
목 13:30-14:45 (벤처중소기업센터 10511-김지은)",학사과정,4학년 영문
,전선-디지털미디어,복선-디지털미디어/부선-디지털미디어,,,2150151701,운영체제,,,,홍지만,디지털미디어학과,3.0/3.0,0,40,"월 19:30-20:45 (정보과학관 21501-홍지만)
월 21:00-22:15 (정보과학관 21501-홍지만)",학사과정,4학년 디지털미디어(구 미디어경영)
,전선-IT융합/전선-차세대반도체,복선-IT융합/복선-차세대/부선-IT융합/부선-차세대/심선-차세대반도체심화/연선-차세대반도체연계/융선-인공지능반도체융합/융선-정보보호융합/융선-차세대반도체융합,,,2150182801,운영체제,,"대면+녹화
EL+",,이찬호,전자정보공학부 IT융합전공,3.0/3.0,0,40,월 09:00-10:15 (형남공학관 05112 (배명진강의실)-이찬호),학사과정,"4학년 IT융합전공,정보보호융합,차세대반도체,인공지능반도체융합"
,전선-신소재,복선-신소재/부선-신소재/융필-스마트자동차융합,,,2150066101,유기전자소재,,,,신재만,신소재공학과,3.0/3.0,0,40,"월 10:30-11:45 (형남공학관 05116-신재만)
목 10:30-11:45 (형남공학관 05111-신재만)",학사과정,"4학년 신소재,스마트자동차융합"
,전선-의생명시스템,복선-의생명시스템/부선-의생명시스템/융선-빅데이터컴퓨팅융합/융선-지식재산융합,,,2150482101,유전학,,,,이채영,의생명시스템학부,3.0/3.0,0,40,"화 09:00-10:15 (벤처중소기업센터 10311-이채영)
화 10:30-11:45 (벤처중소기업센터 10311-이채영)",학사과정,"4학년 의생명시스템, 빅데이터컴퓨팅융합, 지식재산융합"
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인선-산업공인증,,2150388901,의사결정모형,,EL+,,손재동,산업·정보시스템공학과,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05719 (산공과 전산실습실1)-손재동)
수 10:30-11:45 (형남공학관 05719 (산공과 전산실습실1)-손재동)",학사과정,4학년 산업정보
,전선-의생명시스템,복선-의생명시스템/부선-의생명시스템,,,2150504101,의생명시스템특론1,,,,이채영,의생명시스템학부,3.0/3.0,0,40,"목 09:00-10:15 (벤처중소기업센터 10511-이채영)
목 10:30-11:45 (벤처중소기업센터 10511-이채영)",학사과정,4학년 의생명시스템
,전선-화학,복선-화학/부선-화학,,,2150145101,의약화학,,,,김종훈,화학과,3.0/3.0,0,40,"월 15:00-16:15 (진리관 11516-김종훈)
수 13:30-14:45 (진리관 11402-김종훈)",학사과정,4학년 화학
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인선-산업공인증,,2150513801,인간컴퓨터상호작용,,EL+,,황원일,산업·정보시스템공학과,3.0/3.0,0,40,"월 10:30-11:45 (형남공학관 05321 (조춘구강의실)-황원일)
화 13:30-14:45 (형남공학관 05321 (조춘구강의실)-황원일)",학사과정,4학년 산업정보
,전선-IT융합/전선-차세대반도체,복선-IT융합/복선-차세대/부선-IT융합/부선-차세대/심선-차세대반도체심화/연선-차세대반도체연계/융선-인공지능반도체융합/융선-차세대반도체융합,,,2150085901,인공신경망,,"대면+녹화
EL+",,최혜송,차세대반도체학과,3.0/3.0,0,40,화 16:30-17:45 (형남공학관 05112 (배명진강의실)-최혜송),학사과정,4학년 전체
,전선-IT융합/전선-차세대반도체,복선-IT융합/복선-차세대/부선-IT융합/부선-차세대/심선-차세대반도체심화/연선-차세대반도체연계/융선-차세대반도체융합,,,2150097701,인공신경망,,"대면+녹화
EL+",,이찬호,전자정보공학부 IT융합전공,3.0/3.0,0,40,월 10:30-11:45 (형남공학관 05112 (배명진강의실)-이찬호),학사과정,"4학년 IT융합전공, 차세대반도체학과"
,전선-전기,복선-전기/부선-전기,,,2150049201,인공지능개론,,,,김기백,전기공학부,3.0/3.0,0,40,"화 13:30-14:45 (안익태기념관 04403-김기백)
목 10:30-11:45 (안익태기념관 04403-김기백)",학사과정,4학년 전기
,전선-일어일문,복선-일어일문/부선-일어일문,,,2150564201,일본스크린문학론,,,,이시준,일어일문학과,3.0/3.0,0,40,"목 15:00-16:15 (조만식기념관 12403-이시준)
목 16:30-17:45 (조만식기념관 12403-이시준)",학사과정,4학년 일어일문
,전선-일어일문,복선-일어일문/부선-일어일문,,,2150571501,일본어문헌강독,,EL+,,오미영,일어일문학과,3.0/3.0,0,36,"화 10:30-11:45 (미래관 20109-오미영)
화 12:00-13:15 (미래관 20109-오미영)",학사과정,4학년 일어일문
,전선-물리,복선-물리/부선-물리,,,2150426601,입자물리및우주론,,,,Doris Kim,물리학과,3.0/3.0,0,40,"화 16:30-17:45 (진리관 11407-Doris Kim)
금 16:30-17:45 (진리관 11407-Doris Kim)",학사과정,4학년 물리
,전선-전자공학,복선-전자공학/부선-전자공학/융필-스마트자동차융합,,,2150080701,자동차전자및반도체,,EL+,,이성수,전자정보공학부 전자공학전공,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05112 (배명진강의실)-이성수)
수 10:30-11:45 (형남공학관 05112 (배명진강의실)-이성수)",학사과정,"4학년 전자공학전공,스마트자동차융합(IT융합전공수강 제한)"
,전선-컴퓨터,복선-컴퓨터/융선-AI로봇융합,,,2150534701,자연어처리,,영어,,유용석,컴퓨터학부,3.0/3.0,0,50,월 수 09:00-10:15 (정보과학관 21203 (김재상강의실)-유용석),학사과정,4학년 컴퓨터학부
,전선-회계세무,,,,2150174301,재무회계연습,,대면+녹화,,이정이,회계세무학과(계약학과),3.0/3.0,0,40,토 09:00-10:15 (안익태기념관 04402-이정이),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-회계세무,,,,2150174302,재무회계연습,,대면+녹화,,이명환,회계세무학과(계약학과),3.0/3.0,0,40,토 16:30-17:45 (안익태기념관 04403-이명환),학사과정,4학년 회계세무학과(계약학과) (대상외수강제한)
,전선-컴퓨터,복선-컴퓨터,,,2150554601,전공종합설계1,가,EL+,,장훈,컴퓨터학부,3.0/3.0,0,50,월 수 13:30-14:45 (정보과학관 21201-장훈),학사과정,4학년 컴퓨터
,전선-컴퓨터,복선-컴퓨터,,,2150554602,전공종합설계1,나,EL+,,장훈,컴퓨터학부,3.0/3.0,0,50,월 수 15:00-16:15 (정보과학관 21201-장훈),학사과정,4학년 컴퓨터
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,,2150539101,전공종합설계및논문,,,,박태준,산업·정보시스템공학과,3.0/3.0,0,40,월 수 12:00-13:15 (조만식기념관 12204-박태준),학사과정,4학년 산업정보
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,,2150539102,전공종합설계및논문,,,,강창묵,산업·정보시스템공학과,3.0/3.0,0,40,"목 15:00-16:15 (형남공학관 05728 (산공과 전산실습실2)-강창묵)
목 16:30-17:45 (형남공학관 05728 (산공과 전산실습실2)-강창묵)",학사과정,4학년 산업정보
,전선-산업·정보,복선-산업·정보/부선-산업·정보,공학주제-산업공인증/인필-산업공인증,,2150539103,전공종합설계및논문,,영어,,허재석,산업·정보시스템공학과,3.0/3.0,0,40,"수 13:30-14:45 (조만식기념관 12203-허재석)
목 10:30-11:45 (조만식기념관 12203-허재석)",학사과정,4학년 산업정보 (대상외수강제한)
,전필-전기,복선-전기/부선-전기,,,2150436601,전기전자종합설계,가,,,강대승,전기공학부,4.0/3.0,0,25,"화 10:30-11:20 (형남공학관 05517-강대승)
화 11:30-12:20 (형남공학관 05517-강대승)
목 15:30-16:20 (형남공학관 05517-강대승)
목 16:30-17:20 (형남공학관 05517-강대승)",학사과정,4학년 전기
