과목번호,교과영역,과목명
2150071001,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",프로그래밍실전(Python)
2150071101,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",프로그래밍기초(JAVA)
2150071201,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",데이터분석기초(R)
2150071202,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",데이터분석기초(R)
2150071401,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",창의적아이디어설계
2150071501,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",클라우드실습(PaaS-TA 활용실습)
2150071601,"[‘23이후]자기개발·진로탐색
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(사고력-창의및융합적사고)
['15이전]창의성과의사소통능력(핵심-창의)",지식재산과특허엔지니어링
2150075101,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",통상산업보안론
2150075201,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",통상산업심리
2150077901,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]자연과학과수리(융합-자연)",AI입문
2150077902,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]자연과학과수리(융합-자연)",AI입문
2150078101,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]자연과학과수리(융합-자연)",생활속의반도체
2150081501,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",서사와메타모포시스
2150081601,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(인문학-역사)
['15이전]역사와철학(융합-인문)",한국근대와여성
2150091901,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",동영상콘텐츠제작과활용
2150092101,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",심리학의이해
2150092701,"기독교과목
[‘23이후]자기개발·진로탐색
['20,'21~'22]공동체/리더십,숭실품성-인성과리더십
['19]숭실품성-인성과리더십
['16-'18]숭실품성(인성-종교가치인성교육)
['15이전]인성과리더쉽(핵심-창의)",섬김의리더십
2150092901,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]균형교양(자연과학-자연과학)
['15이전]자연과학과수리(융합-자연)",자연과학과의만남
2150093101,"숭실사이버대과목
[‘23이후]사회·정치·경제
['20,'21~'22]공동체/리더십,숭실품성-인성과리더십
['19]숭실품성-인성과리더십
['16-'18]숭실품성(리더십-통일리더십)
['15이전]인성과리더쉽(핵심-창의)",한반도통일리더십(숭실사이버대)
2150094101,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",유럽문학과사랑
2150094401,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-문화및문명)
['15이전]세계의문화와국제관계(핵심-창의)",다문화이해와세계시민
2150094501,"[‘23이후]사회·정치·경제
['20,'21~'22]공동체/리더십,숭실품성-인성과리더십
['19]숭실품성-인성과리더십
['16-'18]숭실품성(인성-공동체인성교육)
['15이전]인성과리더쉽(핵심-창의)",인류세시대의환경과인간
2150094601,"[‘23이후]자기개발·진로탐색
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-역사)
['15이전]인간과사회(융합-사회)",인물탐구와비전
2150094701,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",East Asian Art History
2150095001,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",데이터사이언스프로젝트
2150095301,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",사물인터넷과스마트팩토리
2150095401,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",프로그래밍실전프로젝트(인공지능)
2150095601,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",사회문제해결소셜임팩트스쿨
2150095701,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-국제어)
['15이전]세계의언어(핵심-창의)",기초스페인어
2150104401,"숭실사이버대과목
[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]숭실품성(인성-종교가치인성교육)
['15이전]인간과사회(융합-사회)",기독교세계관의이해(숭실사이버대)
2150106201,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]역사와철학(융합-인문)",동양철학스케치
2150106501,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",생활속의개인정보보호법
2150106601,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",디지털시대의미디어읽기
2150106602,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",디지털시대의미디어읽기
2150106801,"[‘23이후]자기개발·진로탐색
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(사회과학-문화및문명)
['15이전]문학과예술(융합-인문)",GenZ의미래역량과‘7C-Up’
2150106901,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(사회과학-문화및문명)
['15이전]문학과예술(융합-인문)",디자인·문화·창의성
2150107301,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",SF로통찰하는미래사회
2150107701,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]정치와경제(융합-사회)",민주주의와토론
2150108001,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]정치와경제(융합-사회)",스타트업비즈니스모델디자인
2150109501,"숭실사이버대과목
[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",음악의이해(숭실사이버대)
2150109601,"숭실사이버대과목
[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]실용교양(공공생활)
['15이전]인간과사회(융합-사회)",생활속의법률이야기(숭실사이버대)
2150109701,"숭실사이버대과목
[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]역사와철학(융합-인문)",역사와기술의발전(숭실사이버대)
2150109801,"숭실사이버대과목
[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-한국어의사소통
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(한국어의사소통-읽기와쓰기)
['15이전]창의성과의사소통능력(핵심-창의)",글쓰기및온라인의사소통(숭실사이버대)
2150109901,"숭실사이버대과목
[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-국제어)
['15이전]창의성과의사소통능력(핵심-창의)",생활영어(숭실사이버대)
2150110001,"숭실사이버대과목
[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(인문학-역사)
['15이전]역사와철학(융합-인문)",이야기로풀어본한국사(숭실사이버대)
2150110201,"숭실사이버대과목
[‘23이후]자기개발·진로탐색
['20,'21~'22]공동체/리더십,숭실품성-자기계발과진로탐색
['19]숭실품성-인성과리더십
['16-'18]실용교양(자기개발과진로탐색)
['15이전]인성과리더쉽(핵심-창의)",생애진로탐색(숭실사이버대)
2150110301,"숭실사이버대과목
[‘23이후]자기개발·진로탐색
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",인간관계와정신건강(숭실사이버대)
2150113801,"[‘23이후]자기개발·진로탐색
['20,'21~'22]공동체/리더십,숭실품성-인성과리더십
['19]숭실품성-인성과리더십
['16-'18]숭실품성(리더십-리더십이론및실천)
['15이전]인성과리더쉽(핵심-창의)",한경직리더십
2150114301,"[‘23이후]사회·정치·경제
['20,'21~'22]공동체/리더십,숭실품성-인성과리더십
['19]숭실품성-인성과리더십
['16-'18]숭실품성(인성-공동체인성교육)
['15이전]인성과리더쉽(핵심-창의)",글로벌이슈와시민역량
2150114501,"[‘23이후]인간·언어
['20,'21~'22]의사소통/글로벌,기초역량-국제어문
['19]기초역량-한국어의사소통과국제어문
['16-'18]기초역량(국제어문-국제어)
['15이전]세계의언어(핵심-창의)",기초러시아어
2150114801,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",동영상콘텐츠제작과활용
2150115101,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]기초역량(과학정보기술-정보기술)
['15이전]정보와기술(융합-자연)",컴퓨터그래픽
2150116601,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]균형교양(자연과학-자연과학)
['15이전]자연과학과수리(융합-자연)",과학사
2150116602,"[‘23이후]과학·기술
['20,'21~'22]창의/융합,균형교양-자연과학·공학·기술
['19]균형교양-자연/공학(자연/과학/기술)
['16-'18]균형교양(자연과학-자연과학)
['15이전]자연과학과수리(융합-자연)",과학사
2150138701,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]역사와철학(융합-인문)",동양철학고전의이해
2150175802,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",여성학
2150188201,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",인간관계론
2150188202,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",인간관계론
2150188203,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",인간관계론
2150188204,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",인간관계론
2150300401,"기독교과목
[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]숭실품성-인성과리더십
['16-'18]숭실품성(인성-종교가치인성교육)
['15이전]인성과리더쉽(핵심-창의)",기독교와타종교
2150305701,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-문학/어학/예술)
['15이전]문학과예술(융합-인문)",현대시의이해
2150306001,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]실용교양(개인과가족생활)
['15이전]문학과예술(융합-인문)",공연예술의이해
2150306002,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]실용교양(개인과가족생활)
['15이전]문학과예술(융합-인문)",공연예술의이해
2150308401,"[‘23이후]인간·언어
['20,'21~'22]창의/융합,균형교양-역사·철학·종교
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]인성과리더쉽(핵심-창의)",신앙과이성
2150310301,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]실용교양(공공생활)
['15이전]세계의문화와국제관계(핵심-창의)",법과국제사회
2150332301,"[‘23이후]문화·예술
['20,'21~'22]창의/융합,균형교양-문학·예술
['19]균형교양-인문학(인간/문화/사고력)
['16-'18]균형교양(인문학-철학/사상)
['15이전]문학과예술(융합-인문)",문학사상기행
2150332901,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]실용교양(경제경영)
['15이전]정치와경제(융합-사회)",생활과경제
2150332902,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-정치·경제·경영
['19]균형교양-사회과학(사회/역사)
['16-'18]실용교양(경제경영)
['15이전]정치와경제(융합-사회)",생활과경제
2150333001,"[‘23이후]사회·정치·경제
['20,'21~'22]창의/융합,균형교양-사회·문화·심리
['19]균형교양-사회과학(사회/역사)
['16-'18]균형교양(사회과학-사회/정치/경제)
['15이전]인간과사회(융합-사회)",현대도시문제
